toxicant, C_exp, Time
247.9919244,660.9,1
137.1364081,677.3,1
176.5854996,637,1
246.5997346,717.4,1
212.1172782,750.5,2
242.3338696,898.3,2
246.603299,788.2,2
179.3422009,636.2,2
226.4477423,724.2,7
206.4706868,627.7,7
344.1562181,703.7,7
238.0212847,648.2,7
140.8748007,617,14
105.6316107,528.4,14
275.2086325,654.9,14
300.9861783,637,14
64.84353623,681.68125,15
63.97805724,681.68125,15
76.51646208,681.68125,15
71.87355053,681.68125,15
58.76237022,681.68125,16
70.29698959,681.68125,16
78.0181803,681.68125,16
66.75881475,681.68125,16
80.53281089,681.68125,21
76.7050103,681.68125,21
71.32432165,681.68125,21
67.31325647,681.68125,21
77.33905268,681.68125,28
77.24731481,681.68125,28
75.81507772,681.68125,28
64.58716035,681.68125,28
