Time, toxicant, C_exp
0.25, 20.202020202020208, 100
0.25, 74.74747474747471, 100
0.25, 68.6868686868687, 100
1.0, 81.81818181818181, 100
4.0, 92.92929292929296, 100
4.0, 42.424242424242436, 100
7.0, 149.49494949494948, 100
7.0, 59.59595959595964, 100
10.0, 84.84848484848482, 100
14.25, 122.22222222222223, 100
14.25, 92.92929292929296, 100
15.0, 128.28282828282823, 100
15.0, 79.79797979797979, 100
16.0, 134.3434343434343, 100
16.0, 43.43434343434342, 100
18.0, 53.53535353535352, 100
18.0, 57.575757575757564, 100
21.0, 57.575757575757564, 100
21.0, 66.66666666666663, 100
24.0, 119.19191919191917, 100
24.0, 43.43434343434342, 100
28.0, 58.5858585858586, 100
28.0, 72.72727272727275, 100


