Time; toxicant;C_exp
2;0.4135;0.92
2;1.1026;0.92
2;2.0674;0.92
5;2.4349;0.92
5;2.8943;0.92
5;3.1240;0.92
18;4.9617;0.91
18;8.3155;0.91
18;8.9127;0.91
24;7.6723;0.91
24;10.6126;0.91
24;18.5145;0.91
48;17.4579;0.90
48;19.8928;0.90
48;28.5299;0.90
50;10.7963;0.01
50;12.3124;0.01
50;15.5743;0.01
53;10.1072;0.01
53;15.2067;0.01
53;20.1685;0.01
66;10.1991;0.01
66;11.4855;0.01
66;15.2986;0.01
72;11.3476;0.01
72;12.2665;0.01
72;15.8040;0.01
96;6.4778;0.01
96;8.0398;0.01
96;10.3369;0.01
