"Time","toxicant","C_exp","t_d"
0,2.37685141433688,1,14
0,2.11068744111885,1,14
0,2.054486783286,1,14
0,2.58866902604186,1,14
1,5.30769243414266,1,14
1,4.41089174786745,1,14
1,7.04824654834741,1,14
1,6.30476606747227,1,14
2,6.8085237176302,1,14
2,9.17313877268932,1,14
2,6.59992589595547,1,14
2,6.27347041639884,1,14
3,7.93852126170593,1,14
3,5.88167520029647,1,14
3,5.48618495535769,1,14
3,6.44382399564475,1,14
4,7.92499734981109,1,14
4,6.89446859236925,1,14
4,5.5959194136661,1,14
4,6.93322826599009,1,14
5,7.89811816425964,1,14
5,4.07852357134305,1,14
5,8.37023295811588,1,14
5,6.13926389372395,1,14
6,4.77883188919404,1,14
6,4.83786837011671,1,14
6,5.47614334498639,1,14
6,5.00892302868335,1,14
7,6.7455737989487,1,14
7,6.89243687505568,1,14
7,7.16506553794229,1,14
7,8.09701898826882,1,14
8,5.90500334572095,1,14
8,6.05496628125795,1,14
8,6.96802419464444,1,14
8,7.94410639046657,1,14
9,6.95170000369431,1,14
9,8.96871086406578,1,14
9,6.45186064692724,1,14
9,6.24981286670165,1,14
10,6.84425910141555,1,14
10,7.16087955664714,1,14
10,7.45379567940963,1,14
10,6.1098736660085,1,14
11,7.06831335793403,1,14
11,6.78072193080712,1,14
11,6.51355677154338,1,14
11,6.60244749582703,1,14
12,8.06232120829626,1,14
12,7.45671721870061,1,14
12,4.61150924592426,1,14
12,4.56094046043226,1,14
13,8.28892710736353,1,14
13,4.59200098997968,1,14
13,5.11189677136858,1,14
13,7.30436484669249,1,14
14,10.1211714181854,1,14
14,7.9676888177832,1,14
14,5.34994946411651,1,14
14,5.64755512217367,1,14
15,4.72206378615715,1,14
15,3.27450293185677,1,14
15,2.60002606083192,1,14
15,2.90631651191101,1,14
16,3.58960669231875,1,14
16,2.9911204098666,1,14
16,2.72571567132429,1,14
16,3.00586424268258,1,14
17,1.76403324021467,1,14
17,3.14389760971735,1,14
17,1.8563357981347,1,14
17,1.92754826520149,1,14
18,2.04209893834159,1,14
18,2.25014061086243,1,14
18,1.65943349599922,1,14
18,2.51258083205278,1,14
19,2.47504591376421,1,14
19,1.94949067115114,1,14
19,2.24012968505313,1,14
19,1.93671506107309,1,14
20,2.30672045962509,1,14
20,1.56445944207825,1,14
20,1.75931876363133,1,14
20,2.23405445270647,1,14
21,1.30446654063841,1,14
21,1.69062508291605,1,14
21,2.27922480724189,1,14
21,1.29574404328903,1,14
22,1.79203601812756,1,14
22,1.44489268134731,1,14
22,2.05964985351131,1,14
22,1.85007021672545,1,14
23,2.55732081564867,1,14
23,2.41416570299305,1,14
23,1.64504206675192,1,14
23,2.47561090351581,1,14
24,2.10363275844961,1,14
24,2.10092283012436,1,14
24,1.67221557133825,1,14
24,1.89377436337737,1,14
25,1.92869647628243,1,14
25,2.78355783541504,1,14
25,1.84602430044212,1,14
25,2.12004241157441,1,14
26,1.80995062063018,1,14
26,1.58770739529935,1,14
26,2.23306451993922,1,14
26,2.12663974341937,1,14
27,1.63023222476657,1,14
27,1.4727750780468,1,14
27,1.53118659913837,1,14
27,1.88081904217659,1,14
28,1.95581311044162,1,14
28,1.75206650071101,1,14
28,1.63975710940244,1,14
28,2.78236148033715,1,14
