"Time","toxicant","C_exp","t_d"
1,5.30769243414266,1,14
1,4.41089174786745,1,14
1,7.04824654834741,1,14
1,6.30476606747227,1,14
2,6.8085237176302,1,14
2,9.17313877268932,1,14
2,6.59992589595547,1,14
2,6.27347041639884,1,14
7,6.7455737989487,1,14
7,6.89243687505568,1,14
7,7.16506553794229,1,14
7,8.09701898826882,1,14
14,10.1211714181854,1,14
14,7.9676888177832,1,14
14,5.34994946411651,1,14
14,5.64755512217367,1,14
15,4.72206378615715,1,14
15,3.27450293185677,1,14
15,2.60002606083192,1,14
15,2.90631651191101,1,14
16,3.58960669231875,1,14
16,2.9911204098666,1,14
16,2.72571567132429,1,14
16,3.00586424268258,1,14
21,1.30446654063841,1,14
21,1.69062508291605,1,14
21,2.27922480724189,1,14
21,1.29574404328903,1,14
28,1.95581311044162,1,14
28,1.75206650071101,1,14
28,1.63975710940244,1,14
28,2.78236148033715,1,14
