"Time","toxicant","C_exp","t_d"
1,5.59367155295086,1,14
1,5.55624564282817,1,14
1,4.55188160401059,1,14
1,6.19763367913884,1,14
2,5.41071063245629,1,14
2,6.90496215841716,1,14
2,4.37133256404643,1,14
2,7.00513942970877,1,14
7,5.33736859166544,1,14
7,7.97272089307677,1,14
7,5.63996990488392,1,14
7,8.35924094354283,1,14
14,5.23017483927699,1,14
14,5.50427924074622,1,14
14,7.56976988796534,1,14
14,8.27366989456507,1,14
15,3.46364929953315,1,14
15,4.75013247186043,1,14
15,5.37952629716792,1,14
15,5.38019090758362,1,14
16,3.77134128213075,1,14
16,2.45986781474349,1,14
16,1.07243541274366,1,14
16,1.17144575640705,1,14
21,1.49623131654596,1,14
21,0.177138965534028,1,14
21,2.70049109212494,1,14
21,1.34290352459436,1,14
28,1.91832995063821,1,14
28,0.687302433170477,1,14
28,3.45875902309279,1,14
28,2.139444246173,1,14
